obama	fruit	year	age	male	neob	treat_year
0.0	0.0	2014.0	6.0	0.0	1.0	4.0
0.0	1.0	2014.0	5.0	0.0	1.0	4.0
0.0	0.0	2014.0	9.0	1.0	1.0	4.0
0.0	0.0	2014.0	5.0	1.0	1.0	4.0
0.0	0.0	2014.0	7.0	0.0	1.0	4.0
0.0	0.0	2014.0	9.0	0.0	1.0	4.0
0.0	0.0	2014.0	10.0	1.0	1.0	4.0
0.0	1.0	2014.0	5.0	0.0	1.0	4.0
0.0	0.0	2014.0	8.0	1.0	1.0	4.0
0.0	1.0	2014.0	7.0	0.0	1.0	4.0
0.0	0.0	2014.0	4.0	1.0	1.0	4.0
0.0	0.0	2014.0	11.0	0.0	1.0	4.0
0.0	0.0	2014.0	8.0	1.0	1.0	4.0
0.0	0.0	2014.0	10.0	1.0	1.0	4.0
0.0	1.0	2014.0	5.0	1.0	1.0	4.0
0.0	0.0	2014.0	6.0	0.0	1.0	4.0
0.0	0.0	2014.0	13.0	1.0	1.0	4.0
0.0	0.0	2014.0	8.0	0.0	1.0	4.0
0.0	1.0	2014.0	5.0	1.0	1.0	4.0
0.0	0.0	2014.0	8.0	0.0	1.0	4.0
0.0	0.0	2014.0	4.0	1.0	1.0	4.0
0.0	0.0	2014.0	14.0	1.0	1.0	4.0
0.0	0.0	2014.0	7.0	1.0	1.0	4.0
0.0	1.0	2014.0	13.0	0.0	1.0	4.0
0.0	0.0	2014.0	6.0	1.0	1.0	4.0
0.0	1.0	2014.0	8.0	1.0	1.0	4.0
0.0	0.0	2014.0	10.0	1.0	1.0	4.0
0.0	0.0	2014.0	9.0	1.0	1.0	4.0
0.0	0.0	2014.0	16.0	1.0	1.0	4.0
0.0	0.0	2014.0	7.0	1.0	1.0	4.0
0.0	0.0	2014.0	9.0	1.0	1.0	4.0
0.0	0.0	2014.0	10.0	1.0	1.0	4.0
0.0	0.0	2014.0	7.0	1.0	1.0	4.0
0.0	0.0	2014.0	9.0	0.0	1.0	4.0
